productId,productNumber,productNameBold,productNameThin,category,productNumberShort,producerName,supplierName,isKosher,bottleTextShort,restrictedParcelQuantity,isOrganic,isEthical,ethicalLabel,isWebLaunch,productLaunchDate,isCompletelyOutOfStock,isTemporaryOutOfStock,alcoholPercentage,volumeText,volume,price,country,originLevel1,originLevel2,categoryLevel1,categoryLevel2,categoryLevel3,categoryLevel4,customCategoryTitle,assortmentText,usage,taste,tasteSymbols/0,tasteSymbols/1,tasteSymbols/2,tasteClockGroupBitter,tasteClockGroupSmokiness,tasteClockBitter,tasteClockFruitacid,tasteClockBody,tasteClockRoughness,tasteClockSweetness,tasteClockSmokiness,tasteClockCasque,assortment,recycleFee,isManufacturingCountry,isRegionalRestricted,packaging,isNews,images/0/imageUrl,images/0/fileType,images/0/size,isDiscontinued,isSupplierTemporaryNotAvailable,sugarContent,sugarContentGramPer100ml,vintage,otherSelections,tasteClocks/0/key,tasteClocks/0/value,tasteClocks/1/key,tasteClocks/1/value,tasteClocks/2/key,tasteClocks/2/value,color,dishPoints,tasteSymbols/3,seal/0,seal/1,seal/2,seal/3,seal/4,seal/5,seal/6,seal/7,seal/8,seal/9,seal/10,seal/11,seal/12,seal/13,seal/14,seal/15,seal/16,seal/17,seal/18
24615821,1104001,Williams Brothers,Pavlov's Dog,,11040,Williams Brothers,Brill & Co AB,false,Flaska,0,false,false,,false,2021-09-07T00:00:00,false,false,4.3,500 ml,500,28.9,Storbritannien,,,Öl,Ale,Engelsk pale ale och bitter,,"Öl, Ale, Engelsk pale ale och bitter ",Tillfälligt sortiment,Serveras vid 8-10°C som sällskapsdryck eller till rätter av fläsk- eller lammkött.,"Maltig smak med tydlig beska, inslag av mörkt bröd, farinsocker, torkade aprikoser, choklad och apelsinskal.",Fläsk,Grönsaker,Lamm,,,7,0,5,0,2,0,1,TSV,0,true,false,Flaska,false,https://product-cdn.systembolaget.se/productimages/24615821/24615821,,,false,false,0,0,,,TasteClockBitter,7,TasteClockBody,5,TasteClockSweetness,2,Rödbrun färg.,,,,,,,,,,,,,,,,,,,,,
24529730,1169514,Faith,,,11695,Northern Monk Brew Co,Cask Sweden AB,false,Burk,0,false,false,,false,2021-03-01T00:00:00,false,false,5.4,440 ml,440,24.9,Storbritannien,,,Öl,Ale,Session IPA,,"Öl, Ale, Session IPA",Fast sortiment,"Serveras vid 8-10°C som sällskapsdryck, eller till rätter av lamm- och nötkött.","Fruktig smak med tydlig beska, inslag av ananas, tallbarr, passionsfrukt och grapefrukt.",Lamm,Nöt,Sällskapsdryck,,,7,0,6,0,2,0,1,FSN,1,true,false,Burk,false,https://product-cdn.systembolaget.se/productimages/24529730/24529730,,,false,false,0,0,,,TasteClockBitter,7,TasteClockBody,6,TasteClockSweetness,2,"Oklar, gul färg.",,,,,,,,,,,,,,,,,,,,,
24539259,128715,Grebbestad,American Pale Ale,,1287,Grebbestads Bryggeri,Grebbestad Bryggeri AB,false,Burk,0,false,false,,false,2021-03-01T00:00:00,false,false,5.4,330 ml,330,22.8,Sverige,,,Öl,Ale,Amerikansk pale ale (APA),,"Öl, Ale, Amerikansk pale ale (APA) ",Fast sortiment,"Serveras vid 8-10°C som sällskapsdryck, eller till rätter av ljust kött och lammkött.","Maltig, något humlearomatisk smak med tydlig beska, inslag av knäckebröd, honung, färska örter, torkad ananas och pomerans.",Fågel,Fläsk,Lamm,,,7,0,6,0,2,0,1,FSN,1,true,false,Burk,false,https://product-cdn.systembolaget.se/productimages/24539259/24539259,,,false,false,0,0,,,TasteClockBitter,7,TasteClockBody,6,TasteClockSweetness,2,Gul färg.,,Sällskapsdryck,,,,,,,,,,,,,,,,,,,
24405255,1183515,Mikkeller,K:rlek Höst/Vinter,,11835,Mikkeller Baghaven,Brill & Co AB,false,Burk,0,false,false,,false,2021-09-07T00:00:00,false,false,4.9,330 ml,330,29.9,Internationellt märke,,,Öl,Ale,Amerikansk pale ale (APA),,"Öl, Ale, Amerikansk pale ale (APA) ",Tillfälligt sortiment,Serveras vid 8-10°C som sällskapsdryck eller till rätter av ljust kött.,"Humlearomatisk smak med tydlig beska, inslag av passionsfrukt, sockerkaka, ananas, tallbarr och citronskal.",Fläsk,Fågel,Sällskapsdryck,,,7,0,7,0,2,0,1,TSV,1,false,false,Burk,false,https://product-cdn.systembolaget.se/productimages/24405255/24405255,,,false,true,0,0,2021,,TasteClockBitter,7,TasteClockBody,7,TasteClockSweetness,2,"Oklar, ljus, gul färg.",,,,,,,,,,,,,,,,,,,,,
507904,156612,Pilsner Urquell,,,1566,Pilsner Urquell,Asahi Sweden Filial,false,Burk,0,false,false,,false,2011-11-14T00:00:00,false,false,4.4,500 ml,500,18.5,Tjeckien,,,Öl,Ljus lager,Pilsner - tjeckisk stil,,"Öl, Ljus lager, Pilsner - tjeckisk stil",Fast sortiment,Serveras vid 8-10°C som sällskapsdryck eller till rätter av ljust kött eller till lamm.  ,"Maltig smak med inslag av apelsin, honung, örter och ljust bröd.",Lamm,Fläsk,Fågel,,,6,0,6,0,1,0,1,FS,1,true,false,Burk,false,https://product-cdn.systembolaget.se/productimages/507904/507904,,,false,false,0,0,,,TasteClockBitter,6,TasteClockBody,6,TasteClockSweetness,1,"Mörk, gyllengul färg.",,Sällskapsdryck,,,,,,,,,,,,,,,,,,,
735583,154703,Sigtuna Organic Ale,,,1547,Sigtuna Brygghus,Galatea AB,false,Flaska,0,true,false,,false,2013-12-02T00:00:00,false,false,4.5,330 ml,330,18.9,Sverige,,,Öl,Ale,Amerikansk pale ale (APA),,"Öl, Ale, Amerikansk pale ale (APA) ",Fast sortiment,Serveras vid 8-10°C som sällskapsdryck eller till rätter av ljust kött eller smakrika vegetariska rätter. ,"Nyanserad, fruktig smak med inslag av grapefrukt, aprikos, citron, ljus sirap och tallbarr.",Fläsk,Grönsaker,Fågel,,,7,0,7,0,1,0,1,FS,0,true,false,Flaska,false,https://product-cdn.systembolaget.se/productimages/735583/735583,,,false,false,0,0,,,TasteClockBitter,7,TasteClockBody,7,TasteClockSweetness,1,"Något oklar, gul färg.",,Sällskapsdryck,K,r,o,n,k,a,p,s,y,l,,,,,,,,,
24438375,8874214,Stone,Go To India Pale Ale,,88742,Stone Brewing Co,Cask Sweden AB,false,Burk,0,false,false,,false,2020-03-02T00:00:00,false,false,4.7,355 ml,355,15.9,USA,,,Öl,Ale,Session IPA,,"Öl, Ale, Session IPA",Fast sortiment,"Serveras vid 10-12°C som sällskapsdryck eller till rätter av fläsk, till smakrika vegetariska rätter samt till grillade rätter av nötkött. ","Humlearomatisk smak med påtaglig beska, inslag av ananas, passionsfrukt, ljust bröd, tallbarr och grapefruktskal.",Fläsk,Nöt,Sällskapsdryck,,,10,0,7,0,1,0,1,FS,1,true,false,Burk,false,https://product-cdn.systembolaget.se/productimages/24438375/24438375,,,false,false,0,0,,,TasteClockBitter,10,TasteClockBody,7,TasteClockSweetness,1,Gul färg.,,Grönsaker,,,,,,,,,,,,,,,,,,,
24627094,1267715,Remmarlöv,California Common,,12677,Remmarlöv Gårdsbryggeri,Remmarlöv Gårdsbryggeri AB,false,Burk,0,false,false,,false,2021-10-05T00:00:00,false,false,5.3,330 ml,330,24.9,Sverige,,,Öl,Mellanmörk & Mörk lager,California common,,"Öl, Mellanmörk lager, California common",Tillfälligt sortiment,"Serveras vid 8-10°C som sällskapsdryck, eller till rätter av fläsk-, lamm- och nötkött.","Maltig smak med inslag av knäckebröd, aprikosmarmelad, örter och apelsinskal.",Fläsk,Lamm,Nöt,,,6,0,6,0,1,0,1,TSV,1,true,false,Burk,false,https://product-cdn.systembolaget.se/productimages/24627094/24627094,,,false,true,0,0,,,TasteClockBitter,6,TasteClockBody,6,TasteClockSweetness,1,Brungul färg.,,Sällskapsdryck,,,,,,,,,,,,,,,,,,,
1140023,126203,Åbro Original,Extra Stark,,1262,Åbro Bryggeri,Åbro Bryggeri,false,Flaska,0,false,false,,false,2016-12-01T00:00:00,false,false,7.3,330 ml,330,12.9,Sverige,Kalmar län,Vimmerby kommun,Öl,Ljus lager,Starkare lager,,"Öl, Ljus lager, Starkare lager",Fast sortiment,"Serveras vid cirka 8°C till rätter av fläsk- eller lammkött, eller som sällskapsdryck.","Maltig smak med liten sötma, inslag av knäckebröd och honung.",Fläsk,Lamm,Sällskapsdryck,,,5,0,7,0,3,0,1,FS,0,true,false,Flaska,false,https://product-cdn.systembolaget.se/productimages/1140023/1140023,,,false,false,0,0,,,TasteClockBitter,5,TasteClockBody,7,TasteClockSweetness,3,"Mörk, gul färg.",,,,,,,,,,,,,,,,,,,,,
34550,155603,Asahi,Super Dry,,1556,Asahi Beer,Asahi Sweden Filial,false,Flaska,0,false,false,,false,2002-05-06T00:00:00,false,false,5.2,330 ml,330,16.9,Internationellt märke,,,Öl,Ljus lager,Internationell stil,,"Öl, Ljus lager, Internationell stil",Fast sortiment,Serveras vid 6-8°C som sällskapsdryck eller till rätter av fisk eller ljust kött.,"Maltig smak inslag av rostat bröd, citrus och honung.",Asiatiskt,Fisk,Fågel,,,3,0,4,0,1,0,1,FS,0,false,false,Flaska,false,https://product-cdn.systembolaget.se/productimages/34550/34550,,,false,false,0,0,,,TasteClockBitter,3,TasteClockBody,4,TasteClockSweetness,1,Gul färg.,,Fläsk,,,,,,,,,,,,,,,,,,,
